title,overview,genres,poster_path,release_date,vote_average,vote_count,popularity,runtime,tagline
Waterworld,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' – which is tattooed on Enola's back.","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",/yordVJcPLh3VNRL7bXzFIBEhXRr.jpg,1995-07-28,5.9,1017.0,16.885184,135.0,Beyond the horizon lies the secret to a new beginning.
Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/jsQy4ZbPHA8hE2O6QU05PpofI61.jpg,1995-01-27,7.7,984.0,11.304979,105.0,Can the greatest romance of your life last only one night?
Don Juan DeMarco,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage.","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg,1994-10-01,6.3,184.0,7.438934,97.0,The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!
Exit to Eden,"Elliot is going to the island of Eden to live out his submissive fantasies, but inadvertently photographs diamond smugglers at work. Smugglers, and detectives, follow him to the island, where they try to retrieve the film. Elliot begins falling in love with Lisa, the head mistress of the island, and Lisa must evaluate her feelings about Elliot and her own motivations.","[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",/9oIEKFVPhgVEzbcbRPDXCdkUgRN.jpg,1994-10-14,4.3,28.0,4.322726,113.0,"To crack this case, these two cops will have to flash more than their badges."
Forget Paris,"Mickey Gordon is a basketball referee who travels to France to bury his father. Ellen Andrews is an American living in Paris who works for the airline he flies on. They meet and fall in love, but their relationship goes through many difficult patches. The story is told in flashback by their friends at a restaurant waiting for them to arrive.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/l8lq77bNqJY94JCMPI731jwtDsE.jpg,1995-05-19,6.1,38.0,16.236745,101.0,
A Goofy Movie,"Though Goofy always means well, his amiable cluelessness and klutzy pratfalls regularly embarrass his awkward adolescent son, Max. When Max's lighthearted prank on his high-school principal finally gets his longtime crush, Roxanne, to notice him, he asks her on a date. Max's trouble at school convinces Goofy that he and the boy need to bond over a cross-country fishing trip like the one he took with his dad when he was Max's age, which throws a kink in his son's plans to impress Roxanne.","[{'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",/bycmMhO3iIoEDzP768sUjq2RV4T.jpg,1995-04-07,6.7,404.0,10.177977,78.0,It's the story of a father who couldn't be closer...to driving his son crazy.
Immortal Beloved,"The life and death of the legendary Ludwig van Beethoven. Beside all the work he is known for, the composer once wrote a famous love letter to a nameless beloved and the movie tries to find out who this beloved was. Not easy as Beethoven has had many women in his life.","[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",/meRFVzGpBJiObWfdtOoNr0UPsP4.jpg,1994-12-16,6.9,90.0,7.983666,121.0,
The Hunted,A businessman on a trip to Tokyo ends up in the middle of a centuries old feud between a criminal Ninja cult and a Samurai when he witnesses a assassination performed by the Ninja-cult leader.,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",/llu5wgQGYyMVDnz4p8ds8Um3lUa.jpg,1995-02-24,6.0,25.0,2.756986,106.0,He's trapped in a world where killing is an art and revenge is an obsession
Little Odessa,"The film follows the personal relationship between a father and his two sons, one of whom is a hit-man for the Russian mafia in Brooklyn.","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",/9BQrTWQodxm0G349yruhRuJV38q.jpg,1994-10-27,6.4,31.0,1.861292,98.0,Brothers in blood. Partners in crime.
Love Affair,"Ex-football star Mike Gambril meets Terry McKay on a flight to Sydney, which is forced to land on a small atoll. They become romantic on board a ship sent to take them to a larger island. They agree to meet in New York three months later to see if the attraction is real. One shows up but the other doesn't. However, a chance meeting brings them together again.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/mQMCPf0GUaOjKYFTdmL8w8udnJX.jpg,1994-10-21,4.3,11.0,3.290192,108.0,
The Madness of King George,"Nicholas Hytner’s much awarded 1994 drama, based on Alan Bennett's West End play. George III's erratic behaviour leads to a plot in Parliament to have him declared insane and removed from the throne.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",/Apgj4j73aUyMkNaPoSuQ7DJbt1M.jpg,1994-12-28,6.7,67.0,4.81307,107.0,
Man of the House,"Ben Archer is not happy. His mother, Sandy, has just met a man, and it looks like things are pretty serious. Driven by a fear of abandonment, Ben tries anything and everything to ruin the ""love bubble"" which surrounds his mom. However, after Ben and Jack's experiences in the Indian Guides, the two become much closer.","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",/6bnOhhrrrq6RZhMgz4aGyqbJ9Wf.jpg,1995-03-03,5.1,40.0,2.558118,96.0,Jack wants to marry Ben's mother. But there are strings attached.
My Family,"Traces over three generations an immigrant family's trials, tribulations, tragedies, and triumphs. Maria and Jose, the first generation, come to Los Angeles, meet, marry, face deportation all in the 1930's. They establish their family in East L.A., and their children Chucho, Paco, Memo, Irene, Toni, and Jimmy deal with youth culture and the L.A. police in the 50's. As the second generation become adults in the 60's, the focus shifts to Jimmy, his marriage to Isabel (a Salvadorian refugee), their son, and Jimmy's journey to becoming a responsible parent.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",/wDV4MCBmmTdgNQTv2tYbQg5diaB.jpg,1995-05-03,7.0,11.0,3.121288,128.0,Three generations of dreams.
Outbreak,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",/4KymNvlWR0XF0sqX2BWRd9Z3yXR.jpg,1995-03-10,6.4,522.0,13.676444,127.0,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.
Quiz Show,Quiz Show is a 1994 American historical drama film which tells the true story of the Twenty One quiz show scandal of the 1950s.,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",/yoGJo1h3Hl2exXPVcG9UXWDENtX.jpg,1994-09-16,7.1,262.0,7.772505,133.0,Fifty million people watched but no one saw a thing.
Senior Trip,"While on detention, a group of misfits and slackers have to write a letter to the President explaining what is wrong with the education system. There is only one problem, the President loves it! Hence, the group must travel to Washington to meet the Main Man.","[{'id': 35, 'name': 'Comedy'}]",/qfMbFIGNIQ76FEu7Wg48aEbxFh1.jpg,1995-09-08,5.7,23.0,5.05806,91.0,Stupid tricks. Outrageous chaos. Total destruction. They're taking it on the road.
Tales from the Crypt: Demon Knight,A man on the run is hunted by a demon known as the Collector.,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",/8uD5yk0ECebJ59lhvhTBKhUojc.jpg,1995-01-13,6.7,96.0,9.455342,92.0,Ready for your deadtime story?
Crooklyn,"From Spike Lee comes this vibrant semi-autobiographical portrait of a school-teacher, her stubborn jazz-musician husband and their five kids living in '70s Brooklyn.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",/iFqe07F78SO0SIBzWcK4I5MwNvP.jpg,1994-05-13,6.7,31.0,2.533022,115.0,
Cobb,"Al Stump is a famous sports-writer chosen by Ty Cobb to co-write his official, authorized 'autobiography' before his death. Cobb, widely feared and despised, feels misunderstood and wants to set the record straight about 'the greatest ball-player ever,' in his words.","[{'id': 18, 'name': 'Drama'}]",/k6FYPlBJbH6e7UrDQ9B6LTNDSkD.jpg,1994-12-02,6.1,29.0,2.583363,128.0,Everyone hated this baseball legend. And he loved it.
I Like It Like That,"Lisette and husband Chino face marital difficulties. She is fed up with the kids, while he has job troubles. His mother Rosaria hates Lisette and the neighborhood tramp has designs on Chino. Things get even worse when Chino goes to jail and Lisette gets a good job uptown. Can this marriage be saved?","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/5KYvQJGgrvceGhsRe8ydSpU7A8a.jpg,1994-10-14,6.3,4.0,0.289295,104.0,"For Lisette, everyday has become independence day."
I Love Trouble,"Rival Chicago reporters Sabrina Peterson (Roberts) and Peter Brackett (Nolte) reluctantly join forces to uncover a train wreck conspiracy and bite off more than they can chew while pursuing the story and bickering along the way - and falling in love, despite the fact that he's many years older than she.Sabrina is an ambitious, gifted reporter willing to do whatever it takes to learn the truth about the train accident, which leads her into conflict, then reluctant partnership, with fading star newsman Peter who works for a rival paper. He is her polar opposite: he chases women, smokes cigars, and has just published his first novel. During their pursuit of the story, Peter and Sabrina clash over virtually everything - he also subjects Sabrina to indecent exposure in front of a group of boy scouts after he catches her skinny dipping.","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",/kOiWROfIm3Drk4EHr4XdNKNk5oZ.jpg,1994-06-29,5.3,41.0,3.570874,123.0,Romance Was Never More Dangerous!
Addams Family Values,"Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",/zEwEXGDvJ8Ou2s6XbLMPvMTX53S.jpg,1993-11-19,6.5,537.0,17.555909,94.0,The Family Just Got A Little Stranger
City Slickers II: The Legend of Curly's Gold,"On Mitch Robbins 40th birthday begins quite well until he returns home and finds his brother Glen, the black sheep of the family, in his sofa. Nevertheless he is about to have a wonderful birthday-night with his wife when he discovers a treasure map of Curly by chance. Together with Phil and unfortunately with Glen he tries to find the hidden gold of Curly's father in the desert of Arizona.","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",/gh0lsyJARglhpbKmnY8i8M7V5bI.jpg,1994-06-10,4.9,103.0,8.605703,116.0,
Clean Slate,"Pogue is a private eye with a problem: every morning when he wakes up, he has total amnesia, waking up with a 'blank slate'. Since he is in the middle of a hot investigation and has a developing romance, this is less than convenient.","[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",/kAYsvQvBVshLHGTIDGHcj9jTJq0.jpg,1994-05-06,5.7,25.0,2.724621,107.0,
Cops & Robbersons,"Hard-as-nails cop Jake Stone moves in with the Robbersons so he can watch a hitman who has moved in next door. The Hitman is one thing, but can you survive the Robberson family.","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",/wnkWgFU5UcLwbExCp1YtCg5Ox4E.jpg,1994-04-15,5.0,36.0,7.042878,93.0,
Widows' Peak,Scandal and mystery reign following the arrival of Edwina in a small Irish town populated entirely by widows. Edwina quickly falls out with the locals while also falling in with the son of the community's leader,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",/xXyVUwvJesJJChzpvn7xj5cAOfm.jpg,1994-05-13,4.3,3.0,0.409427,101.0,
Fresh,"Michael is a 12-year-old drug pusher who lives in a crowded house with his cousins and aunt. His father has become a street bum,but still meets with Fresh on occasion to play chess. Fresh is rather quiet in a crazy world. Fresh's sister is a junkie who sleeps with the dealers that Fresh sells for. As the story progresses Fresh realizes that he doesn't want to sell drugs anymore - he wants revenge.","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",/uXRIIUzjDZZdWR2cUzPJ9eAqaHv.jpg,1994-08-24,7.6,56.0,3.970215,114.0,
Geronimo: An American Legend,"The Apache Indians have reluctantly agreed to settle on a US Government approved reservation. Not all the Apaches are able to adapt to the life of corn farmers. One in particular, Geronimo, is restless. Pushed over the edge by broken promises and necessary actions by the government, Geronimo and thirty or so other warriors form an attack team which humiliates the government by evading capture, whi","[{'id': 36, 'name': 'History'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",/cipYLKXoT3PRPIccwUN47bZvYhO.jpg,1993-12-10,5.9,44.0,4.653462,115.0,A Warrior. A Leader. A Legend.
Hot Shots! Part Deux,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team who... who went in to rescue hostages left behind after Desert Storm.","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",/oOXt9gmvsbnoNAx6s202GDTirfw.jpg,1993-05-21,6.2,463.0,13.482371,86.0,Just deux it.
The Man without a Face,"The story of a relationship between a teacher and his troubled pupil. Justin McLeod is a former teacher who lives as a recluse on the edge of town. His face is disfigured from an automobile accident and fire ten years before in which a boy was incinerated and for which he was convicted of involuntary manslaughter. He is also suspected of being a pedophile. He is befriended by Chuck, causing the town's suspicion and hostility to be ignited. McLeod inculcates in his protege a love of justice and freedom from prejudice which sustains him beyond the end of the film.","[{'id': 18, 'name': 'Drama'}]",/24QERLoucnNZIE0gGYdCFzi58IV.jpg,1993-08-25,6.2,125.0,5.997712,114.0,A fatherless boy had almost given up all his dreams... until one man believed in him enough to make them come true.
Savage Nights,"Jean is young, gay, and promiscuous. Only after he meets one or two women, including Laura does he come to realize his bisexuality. Jean has to overcome a personal crisis and a tough choice between Laura and his male lover Samy.","[{'id': 18, 'name': 'Drama'}]",/i9Yg2QH13DfezpKVvdrl0Olpe9V.jpg,1992-08-19,6.2,11.0,1.031556,126.0,
The Shadow,"Based on the 1930's comic strip, puts the hero up against his arch enemy, Shiwan Khan, who plans to take over the world by holding a city to ransom using an atom bomb. Using his powers of invisibility and ""The power to cloud men's minds"", the Shadow comes blazing to the city's rescue with explosive results.","[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",/uk2DdXqdGiFfF5PrvvadQHKES1o.jpg,1994-07-01,5.4,140.0,7.881107,108.0,The Shadow Knows!
Six Degrees of Separation,"The story of a young, gay black con artist who, posing as the son of Sidney Poitier, cunningly maneuvers his way into the lives of a white, upper-class New York family.","[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",/uBbjfRWu5Z9YbzC1LyvA0o1DeyZ.jpg,1993-12-08,6.5,75.0,8.730025,112.0,"For Paul, every person is a new door to a new world."
Trial by Jury,"Valerie is a juror in the trail of a mob boss. When her young son's life is threatened, she has no option other than to see that justice isn't done.","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",/qv6iQOtIbktcUZcE7VIoComjtMI.jpg,1994-09-09,5.5,5.0,0.85586,107.0,"For one juror, the question of guilt or innocence is a matter of life or death... her own."
"Paris, France",A writer has torrid fantasy affairs with young men.,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",/aiJ6foo0jdOaJj3vnbxZTlI2JvX.jpg,1994-02-04,6.0,2.0,0.741522,112.0,
Germinal,"It's mid 19th century, north of France. The story of a coal miner's town. They are exploited by the mine's owner. One day the decide to go on strike, and then the authorities repress them","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/uGDqQAosD7HDD1YZd5sgoSLoNfT.jpg,1993-09-29,6.3,43.0,2.759302,160.0,Who needs God and Heaven? We can change this lousy world.
Naked in New York,"Naked in New York begins in the car of grown up Jake, he is talking to us about his girlfriend, Joanne, (watch for the facial expressions) and to whom you can turn to for help while facing life ('your parents, nyaa, I don't think so'). From there it flashes back to his memories of his parents, college, house across from a squirrel infested peanut factory, best friend, writing career and Joanne.","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",/k9dfMyKqAPxMF9Qelw0rvHbf34Z.jpg,1993-11-10,4.0,3.0,0.449733,95.0,
The Little Rascals,"Spanky, Alfalfa, Buckwheat, and the other characters made famous in the Our Gang shorts of the 1920s and 1930s are brought back to life in this nostalgic children's comedy. When Alfalfa starts to question his devotion to the club's principles after falling for the beautiful nine-year old Darla, the rest of the gang sets out to keep them apart.","[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",/bYpc0diOR3nk9yZeDXEHmsjuKjI.jpg,1994-08-05,6.3,214.0,6.707109,82.0,Mischief loves company
Tough and Deadly,A private eye helps an amnesiac CIA agent elude mobsters who don't want him to regain his memory of their drug operation.,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",/2NZiMx5PhtEgKFRnVzGkIWFdYRZ.jpg,1995-02-14,6.3,4.0,0.426887,92.0,Experts with fists and guns and not afraid to use them.
The Wild Bunch,"Aging outlaw Pike Bishop (William Holden) prepares to retire after one final robbery. Joined by his gang, which includes Dutch Engstrom (Ernest Borgnine) and brothers Lyle (Warren Oates) and Tector Gorch (Ben Johnson), Bishop discovers the heist is a setup orchestrated in part by his old partner, Deke Thornton (Robert Ryan). As the remaining gang takes refuge in Mexican territory, Thornton trails them, resulting in fierce gunfights with plenty of casualties","[{'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}]",/zZhp7p8qvfVrSLKpOFHcKjpEj8f.jpg,1969-06-17,7.7,266.0,11.722424,145.0,"If you only want to spend two hours in a movie theatre and go home and forget it, stay away from THE WILD BUNCH."
The Flower of My Secret,"Marisa Paredes is Leocadia (""Leo"") Macias, a woman writing “pink” romance novels under the alias of Amanda Gris that are very popular all across Spain. Unlike her romantic novels, her own love life is troubled. Leo has a less than happy relationship with her husband Paco, a military officer stationed in Brussels then later in Bosnia, who is distant both physically and emotionally.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/ssWPuAaSbIwWczkKAfvk2hTAVoX.jpg,1995-09-22,6.9,43.0,2.286788,107.0,Every woman has a secret...
Halfaouine: Boy of the Terraces,"Twelve-year-old Noura dangles uncertainly in that difficult netherworld between childhood and adulthood. His growing libido has gotten him banned from the women's baths, where his mother took him when he was younger, but he's not yet old enough to participate in grown-up discussions with the men of his Tunisian village. Noura's only real friend is a troublemaker named Salih -- the village political outcast.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",/uI7hb9flZetd0KZoN2BGHLq4uvZ.jpg,1990-01-01,7.4,5.0,1.983301,98.0,
Roula,"Troubled Roula finds herself drawn to Leon, an author of children's books who has suffered an enormous emotional and creative blockage ever since his wife died in a motorcycle accident two years before. Leon has only his 12-year-old daughter Tanja to keep him company. As romance blooms between Leon and Roula, his daughter approves. Unfortunately, Roula is carrying heavy emotional baggage stemming from the incest she suffered at the hands of her father.","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",/7vlYt3ekwqi8zD6zZp6YatixdQN.jpg,1995-09-11,5.0,1.0,0.149157,97.0,
Nelly and Monsieur Arnaud,"Nelly leaves her lazy, unemployed husband to work for retired judge Mr Arnaud, forty years her senior, after he offers to clear her bills for her. While she types his memoirs the two develop a close friendship, but Arnaud becomes jealous when Nelly begins dating his good-looking young publisher.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/vtQl8XRlR0YRAHSZvBweMeePrVu.jpg,1996-04-12,7.1,16.0,1.784647,106.0,
Pather Panchali,"The film is a coming-of-age story of a young boy named Apu, and life in his small Indian village in the early years of the 20th century. Apu is born to a poor Brahmin family in Bengal. His father Harihar is a priest who dreams of becoming a successful poet and a playwright; he does not earn enough, but the mother Sarbajaya keeps the family going. Because of their limited resources, Sarbajaya resents having to share her home with Harihar's elderly cousin: the old and helpless cripple Indir. Apu's sister Durga is always getting into trouble for stealing guavas from the neighbour's orchards for Indir. She cares for Apu like a good older sister but loves to affectionately tease him. Together, they make do with what they have and enjoy the simple joys of life.","[{'id': 18, 'name': 'Drama'}]",/frZj5djlU9hFEjMcL21RJZVuG5O.jpg,1955-08-26,7.9,63.0,3.900709,125.0,
The World of Apu,Apu is a jobless ex-student dreaming vaguely of a future as a writer. An old college friend talks him into a visit up-country to a village wedding....,"[{'id': 18, 'name': 'Drama'}]",/6Tz1Q69o2n3Zwb0ZffzPL0nFt2T.jpg,1959-05-01,8.2,40.0,2.381806,117.0,
Alphaville,"An American private-eye, arrives in Alphaville, a futuristic city on another planet which is ruled by an evil scientist named Von Braun, who has outlawed love and self-expression.","[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}]",/fFJP3D5fJDFxN7ChqSye1DZ0fTL.jpg,1965-05-05,6.8,100.0,4.658149,100.0,Suddenly the word is Alphaville... and a secret agent is in a breathless race against the Masters of the Future.
Windows,"Shire is the subject of a perverse obsession by a Lesbian neighbor, Andrea, who not only is in lust with her but hires a rapist in order to get audio tapes of her moaning. Ashley turns pepping tom and watches Shire with a telescope as she begins an affair with Det. Cortese.","[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",/1JaMXfXuVfkt3QMATaZE1jblaKk.jpg,1980-01-18,5.8,9.0,0.400023,96.0,
The Substitute,"After he did some jobs for CIA, ex-marine John Shale is visiting his high school love Jane. She's now a teacher in Columbus High School in Miami. Soon after his arriving Jane has her knee cap broken while jogging. After that, John decides to go undercover as her substitute in high school. Very soon he finds out that gang named Kings of Destruction is terrorizing the school.","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",/jlhe2SKWqW3F7BEQl3sOkgXLtkW.jpg,1996-04-19,5.8,60.0,10.68537,114.0,
