title,overview,genres,poster_path,release_date,vote_average,vote_count,popularity,runtime,tagline
Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,1995-10-27,7.1,365.0,10.332025,112.0,I Love You... The Way You Are.
Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,"[{'id': 18, 'name': 'Drama'}]",/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,1995-12-15,7.0,33.0,1.845899,123.0,"Envy, greed, jealousy and love."
Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,1995-10-20,6.6,91.0,8.681325,100.0,In every woman there is the girl she left behind.
Persuasion,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/si8911IezMvAnQFDvyg1nKzDlD.jpg,1995-09-27,7.4,36.0,2.228434,104.0,
The City of Lost Children,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,1995-05-16,7.6,308.0,9.822423,108.0,Where happily ever after is just a dream.
Shanghai Triad,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,1995-04-30,6.5,17.0,1.100915,108.0,In 1930's Shanghai violence was not the problem. It was the solution.
Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,1995-08-11,6.4,249.0,9.481338,99.0,She broke the rules... and changed their lives.
Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,1995-12-29,7.4,2470.0,12.297305,129.0,The future is history.
Wings of Courage,,"[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}]",/k6ODtR38dKEfuzSGjggr8KDyAF4.jpg,1996-09-18,6.8,4.0,0.745542,50.0,
Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,1995-07-18,6.0,756.0,14.404764,89.0,A little pig goes a long way.
Carrington,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.","[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,1995-11-08,6.4,16.0,1.493361,121.0,A Love so Unusual it has to be True
Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,"[{'id': 18, 'name': 'Drama'}]",/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,1995-12-29,7.3,350.0,6.891317,122.0,
Across the Sea of Time,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.","[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",/lKOAyy098yjoot8cutYsStVO1WS.jpg,1995-10-20,3.5,2.0,0.114469,51.0,
It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,1995-11-17,6.1,149.0,7.777735,101.0,Two identical strangers. Two different worlds. One perfect match.
Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,1995-07-19,6.9,828.0,9.882383,97.0,Sex. Clothes. Popularity. Is there a problem here?
"Cry, the Beloved Country",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,"[{'id': 18, 'name': 'Drama'}]",/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,1995-12-15,6.7,13.0,0.894647,106.0,
Richard III,Shakespeare's Play transplanted into a 1930s setting.,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,1995-12-29,6.9,50.0,4.561387,104.0,"I can smile, and murder while I smile"
Dead Presidents,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,1995-10-06,6.6,80.0,9.87957,119.0,"In this daring heist, the only color that counts is green"
Restoration,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,1995-12-29,6.3,30.0,10.979269,117.0,
Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,1995-08-18,5.4,452.0,10.870138,101.0,Nothing In This World Has Prepared You For This.
To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",/zCREx8trzejNieDLUsRuwLU0cS3.jpg,1995-05-20,6.7,177.0,10.448481,106.0,All she wanted was a little attention.
How To Make An American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,1995-10-06,6.5,38.0,4.485958,116.0,There's beauty in the patterns of life.
Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,1995-09-22,8.1,5915.0,18.45743,127.0,Seven deadly sins. Seven ways to die.
Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.","[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,1995-06-14,6.7,1509.0,13.280069,81.0,An American legend comes to life.
When Night Is Falling,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg,1995-05-05,5.9,10.0,3.302524,96.0,
The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,1995-07-19,8.1,3334.0,16.302466,106.0,Five Criminals. One Line Up. No Coincidence.
Guardian Angel,"Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",/hwbKoOSUuzuN2AQppnUxwwd4qOD.jpg,1994-11-22,6.3,3.0,0.595949,93.0,She's no angel of mercy.
Mighty Aphrodite,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,1995-09-13,6.7,145.0,15.899134,95.0,
Lamerica,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.","[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",/407nYlg60AOj95lqDZ4tvUTTm1k.jpg,1994-01-01,7.7,11.0,1.361286,116.0,
The Big Green,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg,1995-09-29,5.2,41.0,5.982764,100.0,The biggest kick of the year!
Georgia,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.","[{'id': 18, 'name': 'Drama'}]",/5OTTRuKfiso75xofN8Vl5mRXOQP.jpg,1995-05-19,6.1,15.0,4.093443,115.0,The toughest act to follow was their dreams.
Kids of the Round Table,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",[],/tL9ImxOccEshRlgmrKQabKH2tCd.jpg,1997-07-08,3.0,1.0,0.307075,89.0,
Home for the Holidays,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg,1995-11-02,6.3,39.0,8.416802,103.0,We'll do it every year..until we get it right
The Postman,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/qkq2JfINRQi4Iu9VTMMtQFfmGWZ.jpg,1994-09-22,7.6,181.0,10.168437,108.0,
